lji[ 382]:= 4542, 488b, c7ac, c62c, c817, c1cd
lji[ 383]:= c7e6, c9a6, c7ac, c62c, c817, c1cd
lji[ 384]:= b9df, be44, c7ac, c62c, c817, c1cd
lji[ 385]:= c16d, c014, c7ac, c62c, c817, c1cd
lji[ 386]:= 473d, 4683, c7ac, c62c, c817, c1cd
lji[ 387]:= 3d2a, 449a, c7ac, c62c, c817, c1cd
lji[ 388]:= 442f, 4569, c7ac, c62c, c817, c1cd
lji[ 389]:= c229, c4e2, c7ac, c62c, c817, c1cd
lji[ 390]:= 4187, b5b2, c7ac, c62c, c817, c1cd
lji[ 391]:= c16c, bcd3, c7ac, c62c, c817, c1cd
lji[ 392]:= 48eb, 48e4, c7ac, c62c, c817, c1cd
lji[ 393]:= ca8e, c9d2, c7ac, c62c, c817, c1cd
lji[ 394]:= c91c, c7fa, c7ac, c62c, c817, c1cd
lji[ 395]:= beda, bda7, c7ac, c62c, c817, c1cd
lji[ 396]:= c8fa, c1b5, c7ac, c62c, c817, c1cd
lji[ 397]:= 49dc, 4aba, c7ac, c62c, c817, c1cd
lji[ 398]:= 4893, 472c, c7ac, c62c, c817, c1cd
lji[ 399]:= c808, c5f1, c7ac, c62c, c817, c1cd
lji[ 400]:= bd24, ba30, c7ac, c62c, c817, c1cd
lji[ 401]:= c18e, 3c0e, c7ac, c62c, c817, c1cd
lji[ 402]:= c17c, c0a4, c7ac, c62c, c817, c1cd
lji[ 403]:= 4534, 4461, c7ac, c62c, c817, c1cd
